County,State,2010 Census,Base,2019-Pop
Whitfield,Georgia,102599,102605,104628
Wilcox,Georgia,9255,9256,8635
Wilkes,Georgia,10593,10593,9777
Wilkinson,Georgia,9563,9570,8954
Worth,Georgia,21679,21667,20247
Hawaii,Hawaii,185079,185076,201513
Honolulu,Hawaii,953207,953206,974563
Kalawao,Hawaii,90,90,86
Kauai,Hawaii,67091,67095,72293
Maui,Hawaii,154834,154840,167417
Ada,Idaho,392365,392372,481587
Adams,Idaho,3976,3978,4294
Bannock,Idaho,82839,82842,87808
Bear Lake,Idaho,5986,5986,6125
Benewah,Idaho,9285,9283,9298
Bingham,Idaho,45607,45605,46811
Blaine,Idaho,21376,21377,23021
Boise,Idaho,7028,7027,7831
Bonner,Idaho,40877,40877,45739
Bonneville,Idaho,104234,104294,119062
Boundary,Idaho,10972,10972,12245
Butte,Idaho,2891,2893,2597
Camas,Idaho,1117,1117,1106
Canyon,Idaho,188923,188922,229849
Caribou,Idaho,6963,6963,7155
Cassia,Idaho,22952,22964,24030
Clark,Idaho,982,982,845
Clearwater,Idaho,8761,8761,8756
Custer,Idaho,4368,4366,4315
Elmore,Idaho,27038,27040,27511
Franklin,Idaho,12786,12786,13876
Fremont,Idaho,13242,13237,13099
Gem,Idaho,16719,16719,18112
Gooding,Idaho,15464,15472,15179
Idaho,Idaho,16267,16267,16667
Jefferson,Idaho,26140,26144,29871
Jerome,Idaho,22374,22355,24412
Kootenai,Idaho,138494,138466,165697
Latah,Idaho,37244,37243,40108
Lemhi,Idaho,7936,7936,8027
Lewis,Idaho,3821,3821,3838
Lincoln,Idaho,5208,5206,5366
Madison,Idaho,37536,37548,39907
Minidoka,Idaho,20069,20055,21039
Nez Perce,Idaho,39265,39270,40408
Oneida,Idaho,4286,4286,4531
Owyhee,Idaho,11526,11526,11823
Payette,Idaho,22623,22622,23951
Power,Idaho,7817,7819,7681
Shoshone,Idaho,12765,12800,12882
Teton,Idaho,10170,10165,12142
Twin Falls,Idaho,77230,77241,86878
Valley,Idaho,9862,9854,11392
Washington,Idaho,10198,10198,10194
Adams,Illinois,67103,67097,65435
Alexander,Illinois,8238,8238,5761
Bond,Illinois,17768,17768,16426
Boone,Illinois,54165,54167,53544
Brown,Illinois,6937,6937,6578
Bureau,Illinois,34978,34980,32628
Calhoun,Illinois,5089,5089,4739
Carroll,Illinois,15387,15394,14305
Cass,Illinois,13642,13641,12147
Champaign,Illinois,201081,201081,209689
Christian,Illinois,34800,34795,32304
Clark,Illinois,16335,16335,15441
Clay,Illinois,13815,13815,13184
Clinton,Illinois,37762,37762,37562
Coles,Illinois,53873,53876,50621
Cook,Illinois,5194675,5195026,5150233
Crawford,Illinois,19817,19818,18667
Cumberland,Illinois,11048,11045,10766
DeKalb,Illinois,105160,105162,104897
De Witt,Illinois,16561,16558,15638
Douglas,Illinois,19980,19977,19465
DuPage,Illinois,916924,916741,922921
Edgar,Illinois,18576,18576,17161
Edwards,Illinois,6721,6721,6395
Effingham,Illinois,34242,34246,34008
Fayette,Illinois,22140,22142,21336
Ford,Illinois,14081,14081,12961
Franklin,Illinois,39561,39996,38469
Fulton,Illinois,37069,37071,34340
Gallatin,Illinois,5589,5587,4828
Greene,Illinois,13886,13886,12969
Grundy,Illinois,50063,50079,51054
Hamilton,Illinois,8457,8457,8116
Hancock,Illinois,19104,19104,17708
Hardin,Illinois,4320,4323,3821
Henderson,Illinois,7331,7328,6646
Henry,Illinois,50486,50483,48913
Iroquois,Illinois,29718,29719,27114
Jackson,Illinois,60218,60206,56750
Jasper,Illinois,9698,9701,9610
Jefferson,Illinois,38827,38825,37684
Jersey,Illinois,22985,23010,21773
Jo Daviess,Illinois,22678,22681,21235
Johnson,Illinois,12582,12577,12417
Kane,Illinois,515269,515322,532403
Kankakee,Illinois,113449,113450,109862
Kendall,Illinois,114736,114804,128990
Knox,Illinois,52919,52926,49699
Lake,Illinois,703462,703400,696535
LaSalle,Illinois,113924,113920,108669
Lawrence,Illinois,16833,16903,15678
Lee,Illinois,36031,36038,34096
Livingston,Illinois,38950,38945,35648
Logan,Illinois,30305,30305,28618
McDonough,Illinois,32612,32616,29682
McHenry,Illinois,308760,308882,307774
McLean,Illinois,169572,169577,171517
Macon,Illinois,110768,110777,104009
Macoupin,Illinois,47765,47763,44926
Madison,Illinois,269282,269298,262966
Marion,Illinois,39437,39437,37205
Marshall,Illinois,12640,12646,11438
Mason,Illinois,14666,14666,13359
Massac,Illinois,15429,15431,13772
Menard,Illinois,12705,12705,12196
Mercer,Illinois,16434,16434,15437
Monroe,Illinois,32957,32949,34637
Montgomery,Illinois,30104,30105,28414
Morgan,Illinois,35547,35545,33658
Moultrie,Illinois,14846,14852,14501
Ogle,Illinois,53497,53490,50643
Peoria,Illinois,186494,186496,179179
Perry,Illinois,22350,22346,20916
Piatt,Illinois,16729,16725,16344
Pike,Illinois,16430,16430,15561
Pope,Illinois,4470,4474,4177
Pulaski,Illinois,6161,6161,5335
Putnam,Illinois,6006,6006,5739
Randolph,Illinois,33476,33480,31782
Richland,Illinois,16233,16233,15513
Rock Island,Illinois,147546,147541,141879
St Clair,Illinois,270056,270078,259686
Saline,Illinois,24913,24915,23491
Sangamon,Illinois,197465,197465,194672
Schuyler,Illinois,7544,7544,6768
Scott,Illinois,5355,5355,4951
Shelby,Illinois,22363,22355,21634
Stark,Illinois,5994,5992,5342
Stephenson,Illinois,47711,47708,44498
Tazewell,Illinois,135394,135392,131803
Union,Illinois,17808,17806,16653
Vermilion,Illinois,81625,81625,75758
Wabash,Illinois,11947,11947,11520
Warren,Illinois,17707,17704,16844
Washington,Illinois,14716,14716,13887
Wayne,Illinois,16760,16760,16215
White,Illinois,14665,14665,13537
